"311","Кальянная ""Алладин"" |  Казань kalyan.space","Кальянная ""Алладин"" находится в замечательном городе Казань на улице Профсоюзная, 25",,"alladin","Алладин","+7(843) 296-73-34","http://alladine.ru/",,"https://vk.com/alladine_kazan","570","1","0","0","0","0","10","1","Кальянная-чайхана. Добро пожаловать в ""Алладин"". В нашем ресторане Мы предлагаем Вам уютную и дружескую атмосферу, приятную музыку, красивые и удобные кабинки, коктейли, безалкогольные напитки, закуски, и, конечно же, вкуснейшие ароматы.","<p>ДОРОГИЕ ГОСТИ!</p><p>В нашем ресторане Вы можете приятно провести время со своей второй половинкой, с любимой семьей, а также с большой компанией друзей. У нас есть все, что нужно для комфортного отдыха и наслаждения. Мы предлагаем Вам уютную и дружескую атмосферу, приятную музыку, красивые и удобные кабинки. В нашем меню Вы найдете блюда восточной, европейской, японской и татарской кухни,а также чай, кофе, коктейли, безалкогольные напитки, закуски, и, конечно же, вкуснейшие ароматы.В будние дни с 11:00 до 18:00 проходит бизнес- ланч.Забронировать столик для Вашего мероприятия Вы можете по телефону (843) 296-73-34.</p>","Профсоюзная, 25","55.7884","49.1233","410","1","551487","1"
"312","Кальянная FreeDom | Казань kalyan.space","Кальянная FreeDom городе Казань, располагаемся по адресу Лево Булачная, 52. У нас вы найдете домашнюю атмосферу с душевным общением, дымным кальяном, вкусным чаем и видеоиграми!",,"kalyannaya-freedom-kazan","FreeDom","+7(843)225-05-59",,,"https://vk.com/uk_freedomfamily","500","0","0","1","1","1","10","0","Добро пожаловать на территорию курения кальяна, вишневого пуэра и угара!  Мы фантазируем, экспериментируем и угощаем вас!  Мы создаем домашнюю атмосферу с душевным общением, дымным кальяном, вкусным чаем и видеоиграми!","<p>Добро пожаловать на территорию курения кальяна, вишневого пуэра и угара! Мы фантазируем, экспериментируем и угощаем вас! Мы создаем домашнюю атмосферу с душевным общением, дымным кальяном, вкусным чаем и видеоиграми! </p><p>Мы любим играть на приставке и настольные игры как дети, курить хорошие кальяны втягивая холодный дым как взрослые, смотреть фильмы на большом телеке как подростки во времена видеотек и видеозалов, слушать негромкую хорошую музыку в отличной компании друзей, болеть за любимую команду как самый ярый фанат, и конечно же общаться как старые знакомые с абсолютно новыми для нас людьми. </p><p>&nbsp;Мы существуем на ваши пожертвования, на которые покупаем новые виды табака, чая и новинки видеоигр. </p><p>Внимание! У нас вход только с 20 лет! В случае, если ты забронировал стол, но у наших кальянщиков возникли сомнения по поводу возраста, и ты не смог его доказать, не обижайся.</p>","Лево Булачная, 52","55.7859","49.1154","421","1","551487","1"
"313","Кальянная Habibi | Kazan","Кальянная Habibi в городе Казань находится по адресу улица Тельмана, 15. Habibi - это именно то место, где тебе всегда рады, у нас ты можешь насладиться дымным кальяном и великолепными чаями, найти новых друзей, привезти к нам своих друзей, познакомиться с интересными людьми и вместе хорошо провести время.",,"kalyannaya-habibi-kazan","Habibi","+7(843)253-06-67",,"https://instagram.com/habibikzn/","https://vk.com/habibi_kzn","400","1","0","1","0","0","50","0","Habibi - это именно то место, где тебе всегда рады, у нас ты можешь насладиться дымным кальяном и великолепными чаями, найти новых друзей, привезти к нам своих друзей, познакомиться с интересными людьми и вместе хорошо провести время.","""Habibi"" - это именно то место, где тебе всегда рады, у нас ты можешь насладиться дымным кальяном и великолепными чаями, найти новых друзей, привезти к нам своих друзей, познакомиться с интересными людьми и вместе хорошо провести время, расслабиться от повседневной суеты, поиграть в настольные и видео игры,насладиться просмотром фильмов или просто почитать книги.

Каждый кто приходит к нам – наш гость, для которого мы готовы предложить: 
● Ароматные Кальяны
● Волшебные Чаи
● Вкусный Кофе
● Уютная Атмосфера
● Развлечения на любой вкус
● Free WI-FI
• VIP зал 
• Кинозал","Улица Тельмана, 15","55.7989","49.1223","432","1","551487","1"
"314","Кальянная Hubble Bubble | Ульяновск","Кальянная Hubble Bubble в городе Ульяновск располагается по адресу Энегельса,21",,"hubble-bubble","Hubble Bubble","+7(842)275-76-46",,"https://instagram.com/hubble_bubble_ulyanovsk","https://vk.com/kalyan_ulsk","620","0","0","0","0","0","10","0","У нас не только вкусные и дымные кальяны, но и замечательный коллектив,который порадует вас живым общением и дельными советами.","<p>Кальянная в замечательном городе Ульяновск ""Hubble Bubble"" Shop &amp; Lounge. В нашей кальянной вы можете найти больший выбор табака.Мы заботимся о своей репутации и о Вашем комфорте. Заказывая у нас Вы можете быть уверены в качестве и вкусе кальяна.</p><p>Будем рады приветствовать Вас в нашем заведении. Располагаемся мы по ул. Энгельса, 21.</p>","Энгельса, 21","54.3165","48.3928","443","1","479123","1"
"315","Кальянная Prime House | Ульяновск","Кальянная Prime House в городе Ульяновск располагается по адресу Гончарова, 56",,"prime-house","Prime House","+7(8422)72-74-75",,"https://instagram.com/primehouse73","https://vk.com/primehouse73","500","0","0","0","0","0","10","0","Отличный персонал, уютная обстановка. Быстрая подача, огромный выбор табака. Цена-качество.","Prime House - всероссийская кальянная европейского уровня теперь и в городе Ульяновск. 
Prime House в Ульяновске - это не только кальян-бар но и магазин где можно приобрести лучшие сорта табака и кальянные аксессуары. Покурить дымный кальян или бестабачный паровой коктейль насыщенный аромат которого поражает воображение можно как в стенах заведения где к вашим услугам дружелюбный персонал и уютная атмосфера так и заказав услугу ""кальян на выезд"" которая заинтересует тех кто хочет устроить день рождения или отметить торжество весело и дымно.","Гончарова, 56","54.3211","48.4015","454","1","479123","1"
"316",,,,"dum","ДЫМ","+7 927 016-75-54",,"https://instagram.com/dblmagan63","https://vk.com/dblmagan","400","1","0","1","0","0","10","1","У нас в заведении есть бесплатный Wi-fi, а так же наша кальнная самая уютная, где можно хорошо расслабиться после дневной суеты !Приемлемые цены , а главное - отменные кальяны и шикарное обслуживание !","В Кировском районе Самары, недалеко от станции метро &quot;Безымянка&quot; находится уютная кальянная &quot;ДЫМ&quot;. Помимо ароматных кальянов, гостей здесь ждет огромный выбор чая из разных уголков планеты, а также непринужденная дружеская атмосфера. Интерьер кальянной выполнен в светлых тонах, стены до половины отделаны кирпичом, как и колонны с барной стойкой. В зале для гостей размещены лаконичные столики и темные стулья, есть и мягкие зоны с комфортными белыми диванчиками. Кальянная &quot;ДЫМ&quot; - это место, в котором каждый может окунуться в атмосферу непринужденного отдыха, насладиться изысканным сочетанием ароматов и вкусов кальяна, раскрыть всю глубину благородного чая, забыв о суете окружающего мира.

Кальянная &amp; Гриль бар «ДЫМ» приглашает вас на:
-Ароматный и дымный кальян
-Огромные роллы и суши
-Вкуснейшее и сочное мясо на гриле
-Большой выбор настольных игр
-Кинопоказы лучших фильмов каждый ВТ, ЧТ и ВС
У нас проходят регулярные акции и шикарные скидки
Непревзойдённая атмосфера «ДЫМа» порадует каждого!","проспект Карла Маркса, 364в","53.2411","50.2379","465","1","499099","1"
"317","Кальянная Smoke Light | Самара","Кальянная Smoke Light в Самаре находится по адресу Самарская, 167",,"smoke-light","Smoke light","+7 987 916-02-70",,"https://instagram.com/smoke_light63","https://vk.com/smoke_light","500","0","0","0","0","0","25","0","Самое яркое место в центре Самары для всех любителей настоящего кальяна. Smoke Light является первым закрытым кальянным клубом, который активно набирает свою популярность в городе.","Самое яркое место в центре Самары для всех любителей настоящего кальяна. Smoke Light является первым закрытым кальянным клубом, который активно набирает свою популярность в городе.

Всегда для вас:
— Все виды элитных табаков
— Большой выбор элитных чаев и сладостей
— Одна из лучших тусовок в городе собралась здесь, чтобы открыть для вас эту атмосферу!

Мы - стараемся для вас, в любимом месте, где теплая атмосфера заложена в принципы нашей работы ","Самарская, 167","53.1957","50.106","476","1","499099","1"
"318","Кальянная Chill Air | Самара","Кальянная Chill Air города Самара находится по адресу Молодогвардейская, 166",,"chill-air","CHILL AIR","+7 987 908‒05‒11",,,"https://vk.com/chillair","620","1","0","0","0","0","10","1","Уют, x-box, вкусные дымные кальяны, чай и вкусняшки. Кальян у нас высочайшего уровня:)   Идем дальше: отличное разливное пиво по самой возможной низкой цене. Дешевле ты сможешь купить только воду в магазине","Прежде всего, мы хотим рассказать о формате нашего нового места. 
All In Room (AIR) - в переводе с английского означает &quot;все в комнате&quot;, эта фраза отражает основную идею нашего заведения, поясним: зайдя в Chill AIR, ты получишь практически все, что ты хочешь. 

Побывав во многих барах, клубах и кальянных Самары, мы пришли к выводу, что нет для нас такого места, куда, без лишних размышлений, мы отправились бы в свободный вечер. Работая над проектом Chill AIR, мы постоянно задавали себе вопрос: «А что бы МЫ хотели получить от заведения?». Спустя некоторое время, ответ был найден! Теперь наша команда смело может заявить, что Chill AIR гарантирует тебе лучшее качество во всем, по доступным ценам!

Теперь, хотим еще раз вернуться к &quot;все в комнате&quot;. Что же это &quot;все&quot;?
Начнем рассказ, наверное, с кальяна, который, лежит, наряду с еще несколькими пунктами, в основе Chill AIR, если ты внимательно прочитал предыдущий абзац, то объяснять, что кальян высочайшего уровня, не нужно. Но мы все-таки поясним - кальян у нас высочайшего уровня:) 

Идем дальше: отличное разливное пиво по самой возможной низкой цене. Дешевле ты сможешь купить только воду в магазине;) 
Конечно, если ты предпочитаешь: чай, кофе, лимонады различных марок(dr.pepper, pepsi, mountain dew и т.п.), сладости, солености, сэндвичи, закуски, печеньки и многое другое, то непременно получишь все это в Chill AIR!
Следом еще один базовый пункт, это - всевозможные средства развлечений, такие как: xbox, sega, kicker(настольный футбол), настольные игры и т.д.
Помимо всего выше перечисленного, Chill AIR будет радовать своих гостей регулярными трансляциями лучших футбольных матчей, а также просмотрами интереснейших фильмов и сериалов. 
Пожалуй, это вся вводная информация. Если все же остались какие-то вопросы, ты можешь найти ответ в группе, либо в любое время написать или позвонить нам, мы с удовольствием ответим!
Приходи, мы ждем именно тебя:)","Молодогвардейская, 166","53.1984","50.1037","487","1","499099","1"
"319","Кальянная Smoky People | Уфа","Кальянная Smoky People в городе Уфа располагается по адресу Ленина,32",,"smoky-people","Smoky People","+7 (347) 262‒78‒87","http://smokypeople.ru/","https://instagram.com/smokypeople","https://vk.com/smokypeople","600","1","0","0","0","0","10","1","Smoky People — это уютный кальян-бар в центре города Уфа! Который создан не только с упором на восточные традиции: курение кальянов, употребление эксклюзивного чая и восточных сладостей, но и как ночной клуб по выходным соблюдающий все модные тенденции в ","Smoky People — это уютный кальян-бар в центре города Уфа! Который создан не только с упором на восточные традиции: курение кальянов, употребление эксклюзивного чая и восточных сладостей, но и как ночной клуб по выходным соблюдающий все модные тенденции в современной танцевальной культуре.
Smoky People — это место, где собираются истинные ценители кальяна и восточных традиций, шумные компании, пары, избравшие его для первого свидания, любители поесть, повеселиться, потанцевать, расслабиться до и после клуба, куда гости приходят постоянно, где знают их вкусы и пристрастия, где они чувствуют себя уютно, расслаблено и комфортно!","Ленина, 32","54.7275","55.9485","495","1","479561","1"
"320","Кальянная Tche Tche | Самара","Кальянная Tche Tche находится в Самаре по адресу Самарская, 130",,"tche-tche-loundge","Tche Tche, лаунж-клуб","+7 (846) 991‒61‒11",,,"https://vk.com/loungetchetche","400","0","0","0","0","0","10","0","lounge Tche Tche – одна из лучших кальянных в Самаре, где можно расслабиться, устроившись в мягких зонах на подушках, покурить ароматный кальян, насладиться вкусом настоящего китайского чая, покушать вкусные роллы. Обслуживающий персонал в кафе приветлив ","lounge Tche Tche – одна из лучших кальянных в Самаре, где можно расслабиться, устроившись в мягких зонах на подушках, покурить ароматный кальян, насладиться вкусом настоящего китайского чая, покушать вкусные роллы. Обслуживающий персонал в кафе приветлив и внимателен, а сервис не вызывает никаких нареканий.

В нашем кафе вы можете воспользоваться бесплатно WI-FI интернетом!","Самарская, 130","53.1941","50.1058","505","1","499099","1"
